no,word,created_at,updated_at,use,example,part_of_speech,pronunciation,mean
5496,안녕히 계세요,2024-01-04 19:03:00,,Y,,,,
5497,안녕히 가세요,2024-01-04 19:03:00,,Y,,,,
5494,안녕하세요?,2024-01-04 19:03:00,,Y,,,,
5495,만나서 반가워요,2024-01-04 19:03:00,,Y,,,,
5498,잘 있어요,2024-01-04 19:04:00,,Y,,,,
5499,잘 가요,2024-01-04 19:04:00,,Y,,,,
5500,다음에 또 만나요,2024-01-04 19:04:00,,Y,,,,
5501,잘 부탁드려요,2024-01-04 19:04:00,,Y,,,,
5502,중국,2024-01-04 19:04:00,,Y,,명사,[중국],"[""아시아 동부에 있는 나라. 세계 최대의 인구와 광대한 영토를 가진 사회주의 국가이다. 주요 언어는 중국어이고 수도는 베이징이다.""]"
5503,베트남,2024-01-04 19:04:00,,Y,,명사,[베트남],"[""동남아시아의 인도차이나반도 동쪽에 있는 나라. 제이 차 세계 대전 이후 남과 북으로 분리되었다가 전쟁 끝에 1975년 사회주의 국가로 통일되었다. 주요 생산물로는 쌀, 철광석 등이 있다. 공용어는 베트남어이고 수도는 하노이이다.""]"
5504,일본,2024-01-04 19:04:00,,Y,,명사,[일본],"[""아시아 대륙 동쪽에 있는 섬나라. 공업, 전자 산업이 발달하였고 경제 수준이 높다. 주요 언어는 일본어이고 수도는 도쿄이다.""]"
5505,필리핀,2024-01-04 19:04:00,,Y,,명사,[필리핀],"[""아시아 남동쪽의 서태평양에 있는 섬나라. 약 칠천여 개의 섬으로 이루어졌으며 지진과 화산 활동이 자주 일어난다. 주요 언어는 타갈로그어와 영어이고 수도는 마닐라이다.""]"
5506,키르기스스탄,2024-01-04 19:04:00,,Y,,,,
5507,캄보디아,2024-01-04 19:04:00,,Y,,명사,[캄보디아],"[""동남아시아 인도차이나반도의 남서부에 있는 나라. 주산업은 농업으로, 쌀과 고무 등이 많이 난다. 공용어는 크메르어이고 수도는 프놈펜이다.""]"
5508,캐나다,2024-01-04 19:04:00,,Y,,명사,[캐나다],"[""북아메리카 대륙의 북부에 있는 나라. 러시아에 이어 세계에서 두 번째로 넓은 나라로 공업과 수산업이 발달했으며, 주요 생산물로는 밀, 금, 구리, 아연 등이 있다. 공용어는 영어와 프랑스어이고 수도는 오타와이다.""]"
5509,몽골,2024-01-04 19:04:00,,Y,,명사,[몽골],"[""만주의 서쪽이자 시베리아의 남쪽에 있는 지역. 칭기즈 칸이 13세기 초 중국 본토의 북쪽에 세운 몽골 제국이 있던 곳으로 청나라 때 외몽골과 내몽골로 나누어졌다. 북쪽으로는 러시아, 남쪽으로는 중국과 맞닿아 있다."",""중앙아시아 내륙에 있는 나라. 농업과 목축업이 발달하였고 주요 생산물로는 양모 등 있다. 주요 언어는 몽골어이고 수도는 울란바토르이다.""]"
5510,태국,2024-01-04 19:04:00,,Y,,명사,[태국],"[""동남아시아의 인도차이나반도에 있는 나라. ‘타이’를 한국식 한자음으로 읽은 이름이다.""]"
5511,미국,2024-01-04 19:04:00,,Y,,명사,[미국],"[""북아메리카 대륙의 중앙에 있는 나라. 한국의 주요 교역국이자 국제 정치와 경제에서 중요한 위치를 차지하고 있다. 공용어는 영어이고 수도는 워싱턴이다.""]"
5512,대만,2024-01-04 19:04:00,,Y,,명사,[대만],"[""중국 대륙의 남동 해안에 있는 섬. ‘타이완’을 한국식 한자음으로 읽은 이름이다.""]"
5513,우즈베키스탄,2024-01-04 19:04:00,,Y,,명사,[우즈베키스탄],"[""중앙아시아에 있는 나라. 관개 농업이 발달하였으며 주요 생산물은 목화이다. 주민 대부분이 이슬람교도이다. 공용어는 우즈베크어이고 수도는 타슈켄트이다.""]"
5514,카자흐스탄,2024-01-04 19:04:00,,Y,,명사,[카자흐스탄],"[""중앙 아시아에 있는 나라. 건조한 기후로 수목이 자랄 수 없어 전통적으로 유목이 발달했다. 주요 생산물로는 석탄, 석유, 구리 등이 있다. 주요 언어는 카자흐어와 러시아어이고 수도는 아스타나이다.""]"
5515,한국,2024-01-04 19:04:00,,Y,,명사,[한ː국],"[""아시아 대륙의 동쪽에 있는 나라. 한반도와 그 부속 섬들로 이루어져 있으며, 대한민국이라고도 부른다. 1950년에 일어난 육이오 전쟁 이후 휴전선을 사이에 두고 국토가 둘로 나뉘었다. 언어는 한국어이고, 수도는 서울이다.""]"
5516,호주,2024-01-04 19:04:00,2024-01-05 11:13:00,Y,,명사,[호ː주],"[""오세아니아 대륙의 대부분을 차지하고 있는 나라. &lsquo;오스트레일리아&rsquo;의 다른 이름이다.""]"
5517,러시아,2024-01-04 19:04:00,,Y,,명사,[러시아],"[""유럽의 동부와 시베리아에 걸쳐 있는 나라. 세계에서 가장 넓은 나라로 북쪽으로는 북극해, 동쪽으로는 태평양과 접해 있다. 공용어는 러시아어이고 수도는 모스크바이다.""]"
